date,attitude,att_counts
2021-02-05,Negative,1
2021-02-05,Neural,1686
2021-02-05,Positive,7
2021-02-06,Negative,4
2021-02-06,Neural,3250
2021-02-06,Positive,24
2021-02-07,Negative,2
2021-02-07,Neural,3001
2021-02-07,Positive,27
2021-02-08,Negative,6
2021-02-08,Neural,5604
2021-02-08,Positive,37
2021-02-09,Negative,3
2021-02-09,Neural,4321
2021-02-09,Positive,26
2021-02-10,Negative,3
2021-02-10,Neural,3503
2021-02-10,Positive,20
2021-02-13,Negative,2
2021-02-13,Neural,2273
2021-02-13,Positive,10
2021-02-14,Negative,5
2021-02-14,Neural,3985
2021-02-14,Positive,19
2021-02-15,Negative,1
2021-02-15,Neural,4632
2021-02-15,Positive,18
2021-02-18,Negative,3
2021-02-18,Neural,2237
2021-02-18,Positive,14
2021-02-19,Negative,8
2021-02-19,Neural,4484
2021-02-19,Positive,29
2021-02-22,Negative,8
2021-02-22,Neural,3523
2021-02-22,Positive,33
2021-02-28,Negative,4
2021-02-28,Neural,1616
2021-02-28,Positive,14
2021-03-11,Negative,2
2021-03-11,Neural,213
2021-03-11,Positive,2
2021-03-12,Negative,1
2021-03-12,Neural,3887
2021-03-12,Positive,35
2021-04-05,Neural,2189
2021-04-05,Positive,8
2021-04-06,Negative,1
2021-04-06,Neural,3704
2021-04-06,Positive,25
2021-04-07,Negative,3
2021-04-07,Neural,3988
2021-04-07,Positive,48
2021-04-08,Neural,3672
2021-04-08,Positive,68
2021-04-09,Negative,6
2021-04-09,Neural,3455
2021-04-09,Positive,14
2021-04-10,Negative,3
2021-04-10,Neural,3982
2021-04-10,Positive,26
2021-04-11,Negative,1
2021-04-11,Neural,2017
2021-04-11,Positive,21
2021-04-12,Negative,3
2021-04-12,Neural,1909
2021-04-12,Positive,14
2021-04-17,Neural,332
2021-04-17,Positive,1
2021-04-18,Negative,6
2021-04-18,Neural,4686
2021-04-18,Positive,16
2021-04-19,Negative,5
2021-04-19,Neural,4106
2021-04-19,Positive,8
2021-04-20,Negative,5
2021-04-20,Neural,4368
2021-04-20,Positive,15
2021-04-21,Negative,4
2021-04-21,Neural,4410
2021-04-21,Positive,22
2021-04-22,Negative,2
2021-04-22,Neural,5089
2021-04-22,Positive,11
2021-04-23,Negative,3
2021-04-23,Neural,5852
2021-04-23,Positive,10
2021-04-24,Neural,3944
2021-04-24,Positive,8
2021-05-25,Neural,2793
2021-05-25,Positive,10
2021-05-26,Negative,1
2021-05-26,Neural,4885
2021-05-26,Positive,12
2021-05-27,Negative,6
2021-05-27,Neural,4369
2021-05-27,Positive,8
2021-05-28,Negative,1
2021-05-28,Neural,5181
2021-05-28,Positive,7
2021-05-29,Negative,1
2021-05-29,Neural,4485
2021-05-29,Positive,23
2021-06-20,Negative,18
2021-06-20,Neural,8683
2021-06-20,Positive,167
2021-06-21,Negative,224
2021-06-21,Neural,40943
2021-06-21,Positive,562
2021-06-22,Negative,236
2021-06-22,Neural,45081
2021-06-22,Positive,523
2021-06-23,Negative,88
2021-06-23,Neural,28844
2021-06-23,Positive,426
2021-07-02,Negative,56
2021-07-02,Neural,17530
2021-07-02,Positive,203
2021-07-03,Negative,90
2021-07-03,Neural,24838
2021-07-03,Positive,502
2021-07-04,Negative,53
2021-07-04,Neural,22603
2021-07-04,Positive,431
2021-07-05,Negative,77
2021-07-05,Neural,25499
2021-07-05,Positive,405
2021-07-16,Negative,4
2021-07-16,Neural,1103
2021-07-16,Positive,3
2021-07-17,Negative,28
2021-07-17,Neural,14952
2021-07-17,Positive,224
2021-07-18,Negative,43
2021-07-18,Neural,25699
2021-07-18,Positive,497
2021-07-19,Negative,85
2021-07-19,Neural,28280
2021-07-19,Positive,566
2021-07-20,Negative,102
2021-07-20,Neural,30473
2021-07-20,Positive,358
2021-07-21,Negative,113
2021-07-21,Neural,38166
2021-07-21,Positive,632
2021-07-22,Negative,50
2021-07-22,Neural,30238
2021-07-22,Positive,545
2021-07-23,Negative,83
2021-07-23,Neural,42523
2021-07-23,Positive,929
2021-07-24,Negative,80
2021-07-24,Neural,31498
2021-07-24,Positive,553
2021-07-25,Negative,18
2021-07-25,Neural,11481
2021-07-25,Positive,116
2021-07-26,Negative,128
2021-07-26,Neural,27022
2021-07-26,Positive,345
2021-07-27,Negative,19
2021-07-27,Neural,13759
2021-07-27,Positive,177
2021-07-28,Negative,39
2021-07-28,Neural,15259
2021-07-28,Positive,201
2021-07-29,Negative,19
2021-07-29,Neural,18811
2021-07-29,Positive,208
2021-07-30,Negative,111
2021-07-30,Neural,37715
2021-07-30,Positive,567
